station_id,station_name,station_number
677.0,"Heath Road, Battersea",200023
812.0,"Here East North, Queen Elizabeth Olympic Park",300217
816.0,"Here East South, Queen Elizabeth Olympic Park",300219
29.0,"Hereford Road, Bayswater",001016
451.0,"Hermitage Court, Wapping",200021
556.0,"Heron Quays DLR, Canary Wharf",200138
748.0,"Hertford Road, De Beauvoir Town",300092
471.0,"Hewison Street, Old Ford",200006
673.0,"Hibbert Street, Battersea",300051
358.0,"High Holborn , Covent Garden",001229
210.0,"Hinde Street, Marylebone",003476
66.0,"Holborn Circus, Holborn",000982
627.0,"Holden Street, Battersea",200007
398.0,"Holland Park, Kensington",010631
578.0,"Hollybush Gardens, Bethnal Green",200244
150.0,"Holy Trinity Brompton, Knightsbridge",001002
194.0,"Hop Exchange, The Borough",000960
221.0,"Horseferry Road, Westminster",001170
739.0,"Hortensia Road, West Brompton",300091
256.0,"Houghton Street, Strand",003484
779.0,"Houndsditch, Aldgate",200072
360.0,"Howick Place, Westminster",002666
357.0,"Howland Street, Fitzrovia",002691
539.0,"Hoxton Station, Hoxton",200151
588.0,"Hoxton Street, Hoxton",200071
761.0,"Humbolt Road, Fulham",300068
774.0,"Hurlingham Park, Parsons Green",300098
191.0,"Hyde Park Corner, Hyde Park",001075
584.0,"Ilchester Gardens, Bayswater",200086
145.0,"Ilchester Place, Kensington",001115
392.0,"Imperial College, Knightsbridge",001220
738.0,"Imperial Road, Sands End",300087
780.0,"Imperial Wharf Station, Sands End",300070
551.0,"Import Dock, Canary Wharf",200066
744.0,"Ingrave Street, Clapham Junction",300077
619.0,"Irene Road, Parsons Green",300012
695.0,"Islington Green, Angel",300031
102.0,"Jewry Street, Aldgate",001045
447.0,"Jubilee Crescent, Cubitt Town",200054
252.0,"Jubilee Gardens, South Bank",001111
532.0,"Jubilee Plaza, Canary Wharf",200163
450.0,"Jubilee Street, Stepney",200002
144.0,"Kennington Cross, Kennington",001093
270.0,"Kennington Lane Rail Bridge, Vauxhall",001190
440.0,"Kennington Oval, Oval",200032
235.0,"Kennington Road  , Vauxhall",001154
149.0,"Kennington Road Post Office, Oval",001073
,"Kennington Road, Vauxhall",001154
435.0,"Kennington Station, Kennington",022170
277.0,"Kensington Church Street, Kensington",001143
258.0,"Kensington Gore, Knightsbridge",001193
293.0,"Kensington Olympia Station, Olympia",001214
375.0,"Kensington Town Hall, Kensington",010632
439.0,"Killick Street, King's Cross",200053
557.0,"King Edward Street, St Pauls",200203
371.0,"King Edward Walk, Waterloo",002639
799.0,"Kings Gate House, Westminster",300202
594.0,"Kingsway Southbound, Strand",200226
283.0,"Kingsway, Covent Garden",001141
296.0,"Knaresborough Place, Earl's Court",200069
222.0,"Knightsbridge, Hyde Park",001101
200.0,"LMU Commercial Road, Whitechapel",001105
262.0,"LSBU (Borough Road), Elephant & Castle",001095
560.0,"Ladbroke Grove Central, Ladbroke Grove",200015
284.0,"Lambeth North Station, Waterloo",001117
815.0,"Lambeth Palace Road, Waterloo",300231
139.0,"Lambeth Road, Vauxhall",001078
526.0,"Lancaster Drive, Blackwall",200143
524.0,"Lancaster Gate , Bayswater",200017
523.0,"Langdon Park, Poplar",200160
21.0,"Lansdown Drive, Hackney Central",
21.0,"Lansdowne Drive, Hackney Central",003426
622.0,"Lansdowne Road, Ladbroke Grove",200172
543.0,"Lansdowne Walk, Ladbroke Grove",200065
801.0,"Lavington Street, Bankside",300208
786.0,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",300029
202.0,"Leman Street, Aldgate",001102
32.0,"Leonard Circus , Shoreditch",001020
155.0,"Lexham Gardens, Kensington",001121
475.0,"Lightermans Road, Millwall",200004
777.0,"Limburg Road, Clapham Junction",300100
573.0,"Limerston Street, West Chelsea",200001
809.0,"Lincoln's Inn Fields, Holborn",300240
469.0,"Lindfield Street, Poplar",022178
60.0,"Lisson Grove, St. John's Wood",001030
116.0,"Little Argyll Street, West End",000995
775.0,"Little Brook Green, Brook Green",300101
234.0,"Liverpool Road (N1 Centre), Angel",001081
117.0,"Lollard Street, Vauxhall",000998
614.0,"London Fields, Hackney Central",200025
752.0,"London Street, Paddington",300079
343.0,"London Zoo Car Park, The Regent's Park",001188
271.0,"London Zoo,  The Regent's Park",001136
308.0,"Long Lane , Bermondsey",001189
76.0,"Longford Street, The Regent's Park",000976
363.0,"Lord's, St. John's Wood",002665
746.0,"Lots Road, West Chelsea",300076
347.0,"Lower Marsh, Waterloo",001219
276.0,"Lower Thames Street, Monument",001098
351.0,"Macclesfield Rd, St Lukes",001226
687.0,"Maclise Road, Olympia",
8.0,"Maida Vale, Maida Vale",003423
12.0,"Malet Street, Bloomsbury",000980
208.0,"Mallory Street, Marylebone",001175
472.0,"Malmesbury Road, Bow",200019
599.0,"Manbre Road, Hammersmith",200235
529.0,"Manresa Road, Chelsea",200010
492.0,"Maplin Street, Mile End",200230
204.0,"Margery Street, Clerkenwell",003468
384.0,"Marloes Road, Kensington",003505
301.0,"Marylebone Lane, Marylebone",001152
,Mechanical Workshop Clapham,022168
,Mechanical Workshop Penton,010626
497.0,"Merchant Street, Bow",200242
704.0,"Mexfield Road, East Putney",200063
731.0,"Michael Road, Walham Green",300095
763.0,"Mile End Park Leisure Centre, Mile End",300027
712.0,"Mile End Stadium, Mile End",300056
376.0,"Millbank Tower, Pimlico",002683
366.0,"Millennium Hotel, Mayfair",001230
473.0,"Millharbour, Millwall",022167
195.0,"Milroy Walk, South Bank",000959
783.0,"Monier Road, Hackney Wick",300213
292.0,"Montpelier Street, Knightsbridge",001206
709.0,"Montserrat Road , Putney",200205
587.0,"Monument Street, Monument",200101
386.0,"Moor Street, Soho",003504
215.0,"Moorfields, Moorgate",001092
629.0,"Morie Street, Wandsworth",200187
470.0,"Mostyn Grove, Bow",200174
586.0,"Mudchute DLR, Cubitt Town",200092
63.0,"Murray Grove , Hoxton",000989
126.0,"Museum of London, Barbican",001043
623.0,"Nantes Close, Wandsworth",200186
454.0,"Napier Avenue, Millwall",200046
378.0,"Natural History Museum, South Kensington",002677
538.0,"Naval Row, Blackwall",200050
46.0,"Nesham Street, Wapping",001031
332.0,"Nevern Place, Earl's Court",001210
684.0,"Neville Gill Close, Wandsworth",200188
581.0,"New Cavendish Street, Marylebone",200005
546.0,"New Fetter Lane, Holborn",200044
9.0,"New Globe Walk, Bankside",001015
58.0,"New Inn Yard, Shoreditch",001032
156.0,"New Kent Road, The Borough",000966
327.0,"New North Road 1, Hoxton",001128
328.0,"New North Road 2, Hoxton",002641
206.0,"New Road 1 , Whitechapel",001171
813.0,"New Spring Gardens Walk, Vauxhall",300224
530.0,"Newby Place, Poplar",200146
71.0,"Newgate Street , St. Paul's",001074
751.0,"Newton Street, Covent Garden",300074
626.0,"Normand Park, West Kensington",300008
828.0,"Normandy Road, Stockwell",300225
180.0,"North Audley Street, Mayfair",001126
279.0,"North Wharf Road, Paddington",001108
593.0,"Northdown Street, King's Cross",200058
688.0,"Northfields, Wandsworth",200204
22.0,"Northington Street , Holborn",003425
354.0,"Northumberland Avenue, Strand",001097
122.0,"Norton Folgate, Liverpool Street",001068
225.0,"Notting Hill Gate Station, Notting Hill",001182
188.0,"Nutford Place, Marylebone",001112
216.0,"Old Brompton Road, South Kensington",003479
485.0,"Old Ford Road, Bethnal Green",022173
537.0,"Old Montague Street, Whitechapel",200239
99.0,"Old Quebec Street, Marylebone",001085
73.0,"Old Street Station, St. Luke's",001064
,One London,123456
324.0,"Ontario Street, Elephant & Castle",001200
679.0,"Orbel Street, Battersea",200114
747.0,"Ormonde Gate, Chelsea",300089
165.0,"Orsett Terrace, Bayswater",002585
685.0,"Osiers Road, Wandsworth",200219
797.0,"Ossulston Street, Somers Town",300211
355.0,"Oval Way, Vauxhall",
743.0,"Oxford Road, Putney",300078
408.0,"Paddington Green Police Station, Paddington",
370.0,"Paddington Green, Paddington",002670
56.0,"Paddington Street, Marylebone",001033
558.0,"Page Street, Westminster",200048
333.0,"Palace Gardens Terrace, Notting Hill",002633
404.0,"Palace Gate, Kensington Gardens",001110
322.0,"Palissy Street, Shoreditch",003502
233.0,"Pall Mall East, West End",001153
34.0,"Pancras Road, King's Cross",003428
83.0,"Panton Street, West End",003452
111.0,"Park Lane , Hyde Park",001037
733.0,"Park Lane, Mayfair",300093
114.0,"Park Road (Baker Street), The Regent's Park",001050
10.0,"Park Street, Bankside",001024
456.0,"Parkway, Camden Town",200118
596.0,"Parson's Green , Parson's Green",200237
671.0,"Parsons Green Station, Parsons Green",300052
337.0,"Pembridge Villas, Notting Hill",002589
402.0,"Penfold Street, Marylebone",010625
490.0,"Pennington Street, Wapping",200090
37.0,"Penywern Road, Earl's Court",003444
544.0,"Percival Street, Finsbury",200051
648.0,"Peterborough Road, Sands End",200171
662.0,"Phene Street, Chelsea",200189
2.0,"Phillimore Gardens, Kensington",001018
443.0,"Philpot Street, Whitechapel",200033
41.0,"Pindar Street, Liverpool Street",001084
569.0,"Pitfield Street Central, Hoxton",200248
465.0,"Pitfield Street North,Hoxton",200152
734.0,"Plough Terrace, Clapham Junction",300094
789.0,"Podium, Queen Elizabeth Olympic Park",300021
143.0,"Pont Street, Knightsbridge",001114
778.0,Pop Up Dock 1,
169.0,"Porchester Place, Paddington",003477
184.0,"Portland Place, Marylebone",001164
514.0,"Portman Square, Marylebone",200008
147.0,"Portugal Street, Holborn",003456
479.0,"Pott Street, Bethnal Green",200156
230.0,"Poured Lines, Bankside",001144
563.0,"Preston's Road, Cubitt Town",200232
329.0,"Prince Albert Road, The Regent's Park",002636
373.0,"Prince Consort Road, Knightsbridge",003499
756.0,"Prince of Wales Drive, Battersea Park",300073
611.0,"Princedale Road , Holland Park",200067
261.0,"Princes Square, Bayswater",003491
512.0,"Pritchard's Road, Bethnal Green",200083
728.0,"Putney Bridge Road, East Putney",300044
607.0,"Putney Bridge Station, Fulham",200125
302.0,"Putney Pier, Wandsworth",003492
694.0,"Putney Rail Station, Putney",300033
491.0,"Queen Mary's, Mile End",200249
320.0,"Queen Mother Sports Centre, Victoria",001148
101.0,"Queen Street 1, Bank",000999
579.0,"Queen Street 2, Bank",200128
136.0,"Queen Victoria Street, St. Paul's",001048
625.0,"Queen's Circus, Battersea Park",200190
231.0,"Queen's Gate (Central), South Kensington",001089
266.0,"Queen's Gate (North), Kensington",001204
187.0,"Queen's Gate (South), South Kensington",001172
350.0,"Queen's Gate, Kensington Gardens",001231
536.0,"Queensbridge Road, Haggerston",200024
736.0,"Queensdale Road, Shepherd's Bush",300088
224.0,"Queensway, Kensington Gardens",001150
644.0,"Rainville Road, Hammersmith",200182
766.0,"Ram Street, Wandsworth",200079
190.0,"Rampayne Street, Pimlico",001106
765.0,"Ranelagh Gardens, Fulham",300064
306.0,"Rathbone Street, Fitzrovia",003497
668.0,"Ravenscourt Park Station, Hammersmith",300037
488.0,"Reardon Street, Wapping",022176
561.0,"Rectory Square, Stepney",200037
23.0,"Red Lion Square, Holborn",003421
436.0,"Red Lion Street, Holborn",022171
267.0,"Regency Street, Westminster",001155
,"Regent's Row , Haggerston",200064
553.0,"Regent's Row , Haggerston ",
647.0,"Richmond Way, Shepherd's Bush",200181
771.0,"Rifle Place, Avondale",300007
339.0,"Risinghill Street, Angel",001127
1.0,"River Street , Clerkenwell",001023
183.0,"Riverlight North, Nine Elms",001165
817.0,"Riverlight South, Nine Elms",300232
118.0,"Rochester Row, Westminster",003457
223.0,"Rodney Road , Walworth",003481
52.0,"Roscoe Street, St. Luke's",001026
760.0,"Rossmore Road, Marylebone",
411.0,"Rotherhithe Roundabout, Rotherhithe",010629
250.0,"Royal Avenue 1, Chelsea",003440
280.0,"Royal Avenue 2, Chelsea",003462
362.0,"Royal College Street, Camden Town",002686
282.0,"Royal London Hospital, Whitechapel",001077
515.0,"Russell Gardens, Olympia",200080
77.0,"Russell Square Station, Bloomsbury",000978
318.0,"Sackville Street, Mayfair",001197
78.0,"Sadlers Sports Centre, Finsbury",003433
441.0,"Sail Street, Vauxhall",200039
542.0,"Salmon Lane, Limehouse",200147
833.0,"Saltoun Road, Brixton",300206
86.0,"Sancroft Street, Vauxhall",003434
769.0,"Sandilands Road, Walham Green",300001
